route,screen_block,ui_label,technical_field,data_class,source_of_truth,canonical_table,external_source,calculation_owner,calculation_formula,persistence_strategy,sensitivity_level,rls_scope,demo_fallback,write_back_required,notes
/dashboard,header,Tenant adı,tenant_name,external_master,PULS tenant,puls_core.tenants,Auth tenant,SQL view,current user tenant,canonical,low,self,dev_only,no,Tenant context for greeting and page shell
/dashboard,header,Kullanıcı adı,display_name,external_master,ERP or HR cache,puls_core.employees,Canias HR,none,,canonical_cache,medium,self,dev_only,no,Minimum visible profile only
/dashboard,metrics,Aktif çalışan,employee_count,computed_metric,PULS calculation,puls_calc.dashboard_overview,puls_core.employees,SQL view,COUNT employees where status active,view,low,tenant_admin,dev_only,no,ERP provides employee facts but PULS owns dashboard count
/dashboard,metrics,Departman,department_count,computed_metric,PULS calculation,puls_calc.dashboard_overview,puls_core.departments,SQL view,COUNT active departments,view,low,tenant_admin,dev_only,no,
/dashboard,metrics,Pozisyon,position_count,computed_metric,PULS calculation,puls_calc.dashboard_overview,puls_core.positions,SQL view,COUNT active positions,view,low,tenant_admin,dev_only,no,
/dashboard,metrics,Yetkinlik şablonu,competency_template_count,computed_metric,PULS calculation,puls_calc.dashboard_overview,puls_performance.competency_templates,SQL view,COUNT active templates,view,low,tenant_admin,dev_only,no,
/dashboard,metrics,ERP durumu,erp_status,computed_metric,PULS integration,puls_integration.erp_connections,Canias connector,SQL view,latest connection status,canonical,low,tenant_admin,dev_only,no,Connection status not official ERP business record
/dashboard,metrics,Veri hazırlığı,data_readiness_pct,computed_metric,PULS calculation,puls_calc.setup_readiness_summary,mappings plus core records,SQL view,weighted mapping and completeness score,summary,low,tenant_admin,dev_only,no,Product readiness metric owned by PULS
/dashboard,work_queue,Bekleyen işler,work_queue_items,computed_metric,PULS calculation,puls_calc.dashboard_overview,leave expense performance,SQL view,pending workflow counts,view,low,manager_or_admin,dev_only,no,
/dashboard,erp_card,Eşleşen alan,mapped_fields_count,computed_metric,PULS integration,puls_calc.erp_readiness_overview,erp_field_mappings,SQL view,COUNT active required mappings,view,low,tenant_admin,dev_only,no,
/dashboard,erp_card,Son deneme,last_sync_attempt_label,computed_metric,PULS integration,puls_integration.erp_sync_batches,Canias connector,SQL view,latest batch timestamp and status,canonical,low,tenant_admin,dev_only,no,
/dashboard,activities,Son aktiviteler,recent_activity_items,puls_transaction,PULS audit,puls_audit.audit_logs,app events,SQL view,latest audit events,append_only,medium,tenant_admin,dev_only,no,PII must be redacted in audit payload
/calisanlar,metrics,Aktif çalışan,active_employee_count,computed_metric,PULS calculation,puls_calc.employee_list_overview,puls_core.employees,SQL view,COUNT active employees,view,low,manager_or_admin,dev_only,no,
/calisanlar,metrics,Yeni son 30 gün,new_employee_30d_count,computed_metric,PULS calculation,puls_calc.employee_list_overview,puls_core.employees,SQL view,COUNT hire_date in last 30 days,view,low,tenant_admin,dev_only,no,
/calisanlar,metrics,Deneme süresi,probation_employee_count,computed_metric,PULS calculation,puls_calc.employee_list_overview,puls_core.employees,SQL view,probation policy by hire_date,view,low,tenant_admin,dev_only,no,
/calisanlar,filters,Arama,employee_search_query,user_input,Frontend only,none,none,frontend,client filter or server query param,not_persisted,low,self,none,no,
/calisanlar,filters,Departman filtresi,filter_department_id,user_input,Frontend only,none,none,frontend,query param,not_persisted,low,self,none,no,
/calisanlar,filters,Pozisyon filtresi,filter_position_id,user_input,Frontend only,none,none,frontend,query param,not_persisted,low,self,none,no,
/calisanlar,filters,Durum filtresi,filter_status,user_input,Frontend only,none,none,frontend,query param,not_persisted,low,self,none,no,
/calisanlar,list,Sicil no,employee_code,external_master,ERP or HR,puls_core.employees,Canias HR,none,,canonical_cache,medium,manager_or_admin,dev_only,no,Visible only when role scope allows employee list
/calisanlar,list,Ad soyad,full_name,external_master,ERP or HR,puls_core.employees,Canias HR,none,,canonical_cache,medium,manager_or_admin,dev_only,no,
/calisanlar,list,E-posta,email,external_master,ERP HR or Supabase Auth,puls_core.employees,Canias HR plus Auth,none,,canonical_cache,medium,manager_or_admin,dev_only,no,
/calisanlar,list,Departman,department_name,reference,PULS canonical,puls_core.departments,ERP or PULS admin,SQL join,employees.department_id join departments,canonical,low,manager_or_admin,dev_only,no,
/calisanlar,list,Pozisyon,position_name,reference,PULS canonical,puls_core.positions,ERP or PULS admin,SQL join,employees.position_id join positions,canonical,low,manager_or_admin,dev_only,no,
/calisanlar,list,Yönetici,manager_name,reference,PULS canonical,puls_core.employees,ERP or PULS admin,SQL join,employees.manager_employee_id self join,canonical,medium,manager_or_admin,dev_only,no,
/calisanlar,list,İşe giriş,hire_date,external_master,ERP or HR,puls_core.employees,Canias HR,none,,canonical_cache,medium,manager_or_admin,dev_only,no,
/calisanlar,list,Durum,employment_status,external_master,ERP or HR,puls_core.employees,Canias HR,none,,canonical_cache,low,manager_or_admin,dev_only,no,
/calisanlar,detail,İzin bakiyesi özeti,leave_balance_summary,computed_metric,PULS calculation,puls_calc.leave_balance_summary_by_employee,leave_balances,SQL view,SUM remaining by employee,view,medium,self_team_admin,dev_only,no,Official source may be ERP if configured
/calisanlar,detail,Performans kapsamı,performance_scope_label,computed_metric,PULS calculation,puls_performance.performance_cycles,performance scope config,SQL view,active cycle membership,view,medium,self_team_admin,dev_only,no,
/departmanlar,metrics,Departman sayısı,department_total_count,computed_metric,PULS calculation,puls_calc.organization_overview,puls_core.departments,SQL view,COUNT departments,view,low,tenant_admin,dev_only,no,
/departmanlar,metrics,Aktif çalışan,department_employee_count,computed_metric,PULS calculation,puls_calc.organization_overview,puls_core.employees,SQL view,COUNT employees grouped by department,view,low,tenant_admin,dev_only,no,
/departmanlar,metrics,Yönetici atanan,department_with_manager_count,computed_metric,PULS calculation,puls_calc.organization_overview,puls_core.departments,SQL view,COUNT manager_employee_id not null,view,low,tenant_admin,dev_only,no,
/departmanlar,list,Departman adı,department_name,external_master,ERP or PULS admin,puls_core.departments,Canias HR,none,,canonical,low,tenant_admin,dev_only,optional,Write-back disabled by default
/departmanlar,list,Departman kodu,department_code,external_master,ERP or PULS admin,puls_core.departments,Canias HR,none,,canonical,low,tenant_admin,dev_only,optional,
/departmanlar,list,Üst departman,parent_department_id,reference,ERP or PULS admin,puls_core.departments,Canias HR,SQL join,self reference,canonical,low,tenant_admin,dev_only,optional,
/departmanlar,list,Departman yöneticisi,department_manager_id,reference,ERP or PULS admin,puls_core.departments,Canias HR,SQL join,employee reference,canonical,medium,tenant_admin,dev_only,optional,
/departmanlar,list,Çalışan sayısı,department_row_employee_count,computed_metric,PULS calculation,puls_calc.organization_overview,puls_core.employees,SQL view,COUNT employees by department,view,low,tenant_admin,dev_only,no,
/pozisyonlar,metrics,Toplam pozisyon,position_total_count,computed_metric,PULS calculation,puls_calc.organization_overview,puls_core.positions,SQL view,COUNT positions,view,low,tenant_admin,dev_only,no,
/pozisyonlar,metrics,Dolu pozisyon,filled_position_count,computed_metric,PULS calculation,puls_calc.organization_overview,puls_core.employees,SQL view,COUNT distinct occupied positions,view,low,tenant_admin,dev_only,no,
/pozisyonlar,metrics,Açık pozisyon,open_position_count,computed_metric,PULS calculation,puls_calc.organization_overview,positions plus employees,SQL view,norm_headcount minus filled count,view,low,tenant_admin,dev_only,no,
/pozisyonlar,list,Pozisyon adı,position_name,external_master,ERP or PULS admin,puls_core.positions,Canias HR,none,,canonical,low,tenant_admin,dev_only,optional,Write-back disabled by default
/pozisyonlar,list,Pozisyon kodu,position_code,external_master,ERP or PULS admin,puls_core.positions,Canias HR,none,,canonical,low,tenant_admin,dev_only,optional,
/pozisyonlar,list,Departman,position_department_id,reference,PULS canonical,puls_core.positions,Canias HR,SQL join,department reference,canonical,low,tenant_admin,dev_only,optional,
/pozisyonlar,list,Seviye,position_level,puls_configuration,PULS admin,puls_core.positions,PULS setup,none,,canonical,low,tenant_admin,dev_only,no,
/pozisyonlar,list,Norm kadro,norm_headcount,puls_configuration,PULS admin,puls_core.positions,PULS setup,none,,canonical,low,tenant_admin,dev_only,no,
/pozisyonlar,list,İş değerleme puanı,job_evaluation_score,computed_metric,PULS calculation,puls_calc.job_evaluation_overview,puls_workflow.job_evaluations,SQL view,weighted factor score,summary,medium,tenant_admin,dev_only,no,No pay band in MVP default
/izin,metrics,Yıllık izin kalan,annual_leave_remaining,external_transaction,ERP or PULS workflow,puls_workflow.leave_balances,Canias optional,SQL view,remaining_days for annual,canonical_or_cache,medium,self_team_admin,dev_only,optional,Source decided per tenant
/izin,metrics,Yıllık izin kullanılan,annual_leave_used,external_transaction,ERP or PULS workflow,puls_workflow.leave_balances,Canias optional,SQL view,used_days for annual,canonical_or_cache,medium,self_team_admin,dev_only,optional,
/izin,metrics,Yıllık izin toplam,total_annual_entitlement,computed_metric,PULS calculation,puls_workflow.leave_balances,leave_types plus hire_date,backend,seniority rule or imported balance,canonical_or_summary,medium,self_team_admin,dev_only,no,
/izin,metrics,Mazeret izin kalan,excuse_leave_remaining,external_transaction,ERP or PULS workflow,puls_workflow.leave_balances,Canias optional,SQL view,remaining_days for excuse,canonical_or_cache,medium,self_team_admin,dev_only,optional,
/izin,metrics,Hastalık izin kalan,sick_leave_remaining,external_transaction,ERP or PULS workflow,puls_workflow.leave_balances,Canias optional,SQL view,remaining_days for sick,canonical_or_cache,medium,self_team_admin,dev_only,optional,
/izin,metrics,Bekleyen izin,pending_leave_count,computed_metric,PULS calculation,puls_calc.leave_overview,puls_workflow.leave_requests,SQL view,COUNT status pending by scope,view,low,self_team_admin,dev_only,no,
/izin,tabs,Benim izinlerim,own_leave_requests,puls_transaction,PULS workflow,puls_workflow.leave_requests,PULS UI,SQL view,employee_id equals current employee,canonical,medium,self,dev_only,optional,Write-back optional after approval
/izin,tabs,Onay bekleyenler,pending_leave_approvals,puls_transaction,PULS workflow,puls_workflow.approval_requests,PULS UI,SQL view,approval current actor scope,canonical,medium,manager_or_admin,dev_only,optional,
/izin,tabs,Takvim,leave_calendar_events,computed_metric,PULS calculation,puls_calc.leave_calendar_view,leave_requests plus holidays,SQL view,events by date and visibility scope,view,medium,self_team_admin,dev_only,no,
