id,tenant_id,code,name,monthly_limit,receipt_required_over,default_vat_rate,approval_policy_id,erp_account_code,is_active
a0000015-0015-4015-8015-000000000001,a0000001-0001-4001-8001-000000000001,YEMEK,Yemek,5000,500,20,a0000013-0013-4013-8013-000000000002,770.YEMEK,true
a0000015-0015-4015-8015-000000000002,a0000001-0001-4001-8001-000000000001,ULASIM,Ulaşım,8000,500,20,a0000013-0013-4013-8013-000000000002,770.ULASIM,true
a0000015-0015-4015-8015-000000000003,a0000001-0001-4001-8001-000000000001,KONAKLAMA,Konaklama,15000,500,20,a0000013-0013-4013-8013-000000000002,770.KONAKLAMA,true
a0000015-0015-4015-8015-000000000004,a0000001-0001-4001-8001-000000000001,MALZEME,Ofis Malzemesi,3000,500,20,a0000013-0013-4013-8013-000000000002,770.MALZEME,true
a0000015-0015-4015-8015-000000000005,a0000001-0001-4001-8001-000000000001,EGITIM,Eğitim,10000,500,20,a0000013-0013-4013-8013-000000000002,770.EGITIM,true
a0000015-0015-4015-8015-000000000006,a0000001-0001-4001-8001-000000000001,YAKIT,Yakıt,6000,500,20,a0000013-0013-4013-8013-000000000002,770.YAKIT,true
a0000015-0015-4015-8015-000000000007,a0000001-0001-4001-8001-000000000001,BAKIM,Bakım/Onarım,7000,500,20,a0000013-0013-4013-8013-000000000002,770.BAKIM,true
a0000015-0015-4015-8015-000000000008,a0000001-0001-4001-8001-000000000001,HED,Hediye/İkram,2000,500,20,a0000013-0013-4013-8013-000000000002,770.HED,true
a0000015-0015-4015-8015-000000000009,a0000001-0001-4001-8001-000000000001,DIGER,Diğer,4000,500,20,a0000013-0013-4013-8013-000000000002,770.DIGER,true
a0000015-0015-4015-8015-000000000010,a0000001-0001-4001-8001-000000000001,ESKI-KAT,Eski Kategori (Pasif),1000,500,20,a0000013-0013-4013-8013-000000000002,770.ESKI-KAT,false
