id,tenant_id,connection_id,source_entity,source_field,target_schema,target_table,target_field,transform_rule,is_required,is_sensitive,is_active
a0000017-0017-4017-8017-000000000001,a0000001-0001-4001-8001-000000000001,a0000016-0016-4016-8016-000000000001,employee,EMPLOYEE_CODE,puls_core,employees,employee_code,{},false,false,true
a0000017-0017-4017-8017-000000000002,a0000001-0001-4001-8001-000000000001,a0000016-0016-4016-8016-000000000001,employee,FULL_NAME,puls_core,employees,full_name,{},false,false,true
a0000017-0017-4017-8017-000000000003,a0000001-0001-4001-8001-000000000001,a0000016-0016-4016-8016-000000000001,department,DEPT_CODE,puls_core,departments,code,{},false,false,true
a0000017-0017-4017-8017-000000000004,a0000001-0001-4001-8001-000000000001,a0000016-0016-4016-8016-000000000001,department,DEPT_NAME,puls_core,departments,name,{},false,false,true
a0000017-0017-4017-8017-000000000005,a0000001-0001-4001-8001-000000000001,a0000016-0016-4016-8016-000000000001,position,POS_CODE,puls_core,positions,code,{},false,false,true
a0000017-0017-4017-8017-000000000006,a0000001-0001-4001-8001-000000000001,a0000016-0016-4016-8016-000000000001,position,POS_NAME,puls_core,positions,name,{},false,false,true
a0000017-0017-4017-8017-000000000007,a0000001-0001-4001-8001-000000000001,a0000016-0016-4016-8016-000000000001,cost_center,CC_CODE,puls_core,cost_centers,code,{},false,false,true
a0000017-0017-4017-8017-000000000008,a0000001-0001-4001-8001-000000000001,a0000016-0016-4016-8016-000000000001,cost_center,CC_NAME,puls_core,cost_centers,name,{},false,false,true
a0000017-0017-4017-8017-000000000009,a0000001-0001-4001-8001-000000000001,a0000016-0016-4016-8016-000000000001,employee,HIRE_DATE,puls_core,employees,hire_date,{},false,false,true
a0000017-0017-4017-8017-000000000010,a0000001-0001-4001-8001-000000000001,a0000016-0016-4016-8016-000000000001,employee,EMAIL,puls_core,employees,email,{},false,false,true
a0000017-0017-4017-8017-000000000011,a0000001-0001-4001-8001-000000000001,a0000016-0016-4016-8016-000000000001,department,MANAGER_CODE,puls_core,departments,manager_employee_id,{},false,false,true
a0000017-0017-4017-8017-000000000012,a0000001-0001-4001-8001-000000000001,a0000016-0016-4016-8016-000000000001,location,LOC_CODE,puls_core,locations,code,{},false,false,true
