id,tenant_id,employee_id,contract_type,start_date,end_date,status,signature_status,risk_band,metadata_only,external_source,external_contract_id
a0000022-0022-4022-8022-000000000001,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000001,employment,2025-06-01,,active,awaiting,low,true,,
a0000022-0022-4022-8022-000000000002,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000007,employment,2024-01-01,2027-12-31,active,signed,medium,true,,
a0000022-0022-4022-8022-000000000003,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000013,employment,2025-06-01,2027-12-31,active,signed,high,true,,
a0000022-0022-4022-8022-000000000004,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000019,employment,2024-01-01,,active,signed,low,true,,
a0000022-0022-4022-8022-000000000005,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000025,employment,2025-06-01,2027-12-31,active,awaiting,medium,true,,
a0000022-0022-4022-8022-000000000006,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000031,employment,2024-01-01,2027-12-31,active,signed,high,true,,
a0000022-0022-4022-8022-000000000007,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000037,employment,2025-06-01,,active,signed,low,true,,
a0000022-0022-4022-8022-000000000008,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000043,employment,2024-01-01,2027-12-31,active,signed,medium,true,,
a0000022-0022-4022-8022-000000000009,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000049,employment,2025-06-01,2027-12-31,active,awaiting,high,true,,
a0000022-0022-4022-8022-000000000010,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000055,employment,2024-01-01,,active,signed,low,true,,
a0000022-0022-4022-8022-000000000011,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000061,employment,2025-06-01,2027-12-31,active,signed,medium,true,,
a0000022-0022-4022-8022-000000000012,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000067,employment,2024-01-01,2027-12-31,active,signed,high,true,,
a0000022-0022-4022-8022-000000000013,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000073,employment,2025-06-01,,active,awaiting,low,true,,
a0000022-0022-4022-8022-000000000014,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000079,employment,2024-01-01,2027-12-31,active,signed,medium,true,,
a0000022-0022-4022-8022-000000000015,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000085,employment,2025-06-01,2027-12-31,active,signed,high,true,,
a0000022-0022-4022-8022-000000000016,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000091,employment,2024-01-01,,active,signed,low,true,,
a0000022-0022-4022-8022-000000000017,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000097,employment,2025-06-01,2027-12-31,active,awaiting,medium,true,,
a0000022-0022-4022-8022-000000000018,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000103,employment,2024-01-01,2027-12-31,active,signed,high,true,,
a0000022-0022-4022-8022-000000000019,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000109,employment,2025-06-01,,active,signed,low,true,,
a0000022-0022-4022-8022-000000000020,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000115,employment,2024-01-01,2027-12-31,active,signed,medium,true,,
